ID,sex,Aged,Married,TotalDependents,ServiceSpan,MobileService,4GService,CyberProtection,HardwareSupport,TechnicalAssistance,FilmSubscription,SettlementProcess,QuarterlyPayment,GrandPayment,CustomerAttrition
KR80BM41H9NY62Q9GQRH,Female,No,Yes,Yes,0,Yes,Satellite Broadband,No,No,No,Yes,Bank,17.97023756,20.98403965,No
2Z7JDNBH470S2EE4QEFS,Female,No,No,No,54,Yes,Satellite Broadband,Yes,Yes,No,No,Bank,102.8010283,5639.467056,Yes
8DANTI0PJ0HX3GOBTEWS,Female,Yes,Yes,No,15,Yes,Satellite Broadband,No,Yes,No,No,Electronic,96.99222892,1587.535725,Yes
WIIOYRGD2184CU4ONSX3,Male,Yes,No,No,6,Yes,Satellite Broadband,No,Yes,No,No,Electronic,105.8351139,829.346907,Yes
FQEFLSHEXNUAEF7PRJMT,Female,No,Yes,Yes,69,Yes,No,No,No,No,No,Check,25.19430191,1762.840935,No
5ZJWZ4WSGG8KDBYFEA1L,Male,Yes,Yes,No,30,Yes,No,Yes,Yes,No,No,Card,50.77818405,1581.108339,No
BH84LBPSC1FPX63EU8H4,Male,No,Yes,Yes,72,Yes,Satellite Broadband,No,No,No,No,Bank,25.33678258,1786.466841,No
IX5KKRQ55SUBIZD0N3ZI,Male,No,No,No,33,Yes,No,No,No,No,Yes,Check,18.45744424,690.7522972,No
CYLPXD667RX9SCE2FRX4,Male,No,Yes,No,72,Yes,Satellite Broadband,Yes,Yes,Yes,Yes,Card,78.75223692,5813.240469,No
4LYLGB1JK9MPCORJYWW7,Male,Yes,No,No,69,Yes,No,No,No,No,Yes,Electronic,44.18397953,3264.617593,Yes
Z8UELQEH3D4ZBX2H54PX,Male,Yes,No,No,54,Yes,Satellite Broadband,No,Yes,No,No,Electronic,99.50690169,5411.262479,No
A8Q0D9L3J10TJ3RYJ6LI,Male,No,No,Yes,30,Yes,Wifi Broadband,No,No,Yes,Yes,Check,79.77587335,2586.552601,Yes
5334NCXFQXQBDW922RIX,Male,No,Yes,No,71,Yes,No,Yes,Yes,Yes,Yes,Electronic,117.5415085,8566.227634,No
OLXI0LRL3MMNI7LR3DTM,Female,Yes,No,No,53,Yes,Wifi Broadband,No,No,No,No,Electronic,80.36744939,4368.856094,Yes
T2O6KQFJUFI64RN7UR29,Female,No,No,Yes,0,No,Wifi Broadband,No,No,No,No,Check,21.98519314,19.35013564,No
5TOJ720HD6IX2DYAJFJ0,Male,No,No,No,2,Yes,Wifi Broadband,No,No,No,No,Check,19.41285496,17.2019606,Yes
AGSGJXM11GEJ3M7XGI74,Male,No,Yes,Yes,31,Yes,Wifi Broadband,No,No,Yes,Yes,Bank,82.22792953,2569.947744,No
HDYY5FS8SG2FHXKGY5H4,Female,No,Yes,No,36,Yes,Wifi Broadband,No,Yes,No,No,Card,77.4952163,2839.994301,Yes
FK3JMDN9XQLUJOM6SLGP,Male,No,No,No,8,Yes,Satellite Broadband,No,No,No,No,Check,19.84486471,175.3866122,No
70NGNDPH2QCL9733FUS5,Female,Yes,No,No,37,Yes,Wifi Broadband,No,No,No,No,Check,19.55929233,735.0547403,No
HSI68FU26TFNRN94Q5Y9,Female,Yes,No,No,30,Yes,Wifi Broadband,No,No,No,No,Card,18.72350506,588.1546993,No
7MEOG94IRCS9FF6MGF1R,Male,Yes,Yes,No,34,Yes,Wifi Broadband,Yes,Yes,Yes,No,Bank,110.3968453,3693.590574,No
2Q277DOT5QB5QIEM47Y4,Male,No,No,No,34,Yes,No,Yes,No,No,No,Bank,32.45361622,1126.056093,No
39F02T34II0IJ7THGL23,Female,No,No,No,28,Yes,Satellite Broadband,No,Yes,Yes,No,Check,37.5064837,961.4162993,No
0K3MC0Q6BE4MTDUJXS97,Male,No,No,No,2,Yes,Satellite Broadband,No,No,No,Yes,Card,90.96610221,89.07803539,Yes
KNJ68L07G7UPL0O7GJ8T,Male,Yes,Yes,Yes,-1,Yes,No,No,No,Yes,Yes,Card,49.40219235,49.38402941,Yes
7SDP8RGBKN7DZCTD3AHP,Male,No,Yes,Yes,53,Yes,Wifi Broadband,Yes,No,Yes,Yes,Electronic,71.75796029,3828.122394,No
KO1YG3DMANI47G3AKHS2,Female,No,No,No,-1,Yes,Satellite Broadband,No,No,No,No,Check,25.00933211,24.26913058,Yes
2H1MF42QO7O8OUH0E27Y,Female,Yes,No,No,34,Yes,Wifi Broadband,No,No,No,No,Card,69.21325834,2274.684961,No
687UHD5FENP9O4EZ2US4,Female,No,No,No,41,Yes,Satellite Broadband,No,No,No,No,Electronic,101.7666876,4524.955971,Yes
DGGR0F9WNR8T7X3UUGA3,Female,No,No,No,0,Yes,Wifi Broadband,No,No,No,Yes,Check,19.45853613,18.53323336,Yes
DY8N2FSPYBLTHA1BICZU,Female,No,No,No,60,Yes,Wifi Broadband,No,Yes,No,No,Electronic,102.3647176,6422.082266,No
JR3XPWJKO3IU78CBTSMK,Male,No,No,Yes,3,Yes,Wifi Broadband,Yes,No,No,No,Electronic,48.11708459,180.7257484,Yes
Y9CIB2KBL7IH7GSHUMWF,Female,No,Yes,Yes,22,Yes,No,No,No,No,Yes,Check,19.32974979,399.8918963,No
HGRWRMTN6J78MEK5OD6P,Female,No,No,No,1,Yes,Satellite Broadband,No,Yes,No,No,Card,86.35580918,85.17804086,Yes
YLZYBT7AF4IXLFRUWNSY,Male,No,No,No,3,Yes,Satellite Broadband,No,No,Yes,Yes,Check,48.45830283,149.3083938,No
C1WOIX3KCAO9BSHCX8Z7,Female,No,Yes,No,68,Yes,Wifi Broadband,Yes,Yes,Yes,No,Bank,64.57814342,4504.812662,No
OT1QF8QRXB30MBH0RL94,Male,No,Yes,No,41,Yes,Wifi Broadband,No,Yes,No,Yes,Electronic,79.36382704,3170.365504,No
85QBDSIZ3QCBQ4QAEQUX,Male,No,Yes,No,9,Yes,Satellite Broadband,No,No,No,No,Card,85.38877534,627.7930078,Yes
FXTPP95SRZBKU4U8QYA7,Female,Yes,Yes,Yes,54,Yes,Satellite Broadband,Yes,Yes,No,No,Bank,103.0864435,5794.253637,Yes
JHE5Q30PHYLWXEIIBS7Y,Female,No,No,No,11,Yes,Wifi Broadband,No,No,No,No,Card,23.09018141,236.8724574,No
RCGPFBPKOLCJ0WJJDU2J,Male,No,Yes,Yes,39,Yes,Satellite Broadband,No,Yes,No,Yes,Bank,69.6092196,2839.461562,No
FSS4N7H31SRANWLK1S61,Female,No,No,No,21,Yes,No,Yes,No,No,No,Electronic,58.232961,1252.614034,Yes
BPY8CYSMCZULKW2QNDZO,Male,No,No,Yes,58,Yes,Satellite Broadband,No,No,No,Yes,Check,19.23573865,1171.275999,No
1LMC356KA5JKD5C7B4TA,Male,No,No,No,40,Yes,No,No,No,No,No,Check,24.81601393,963.8549677,No
AWU8RY33G90W2K3BOLM8,Female,No,No,No,25,Yes,No,Yes,No,No,No,Electronic,94.86288632,2285.085336,No
3SM3AO5PO2KP11UXMCMU,Female,No,No,No,10,Yes,Wifi Broadband,Yes,No,Yes,No,Check,53.67559914,618.2574497,No
A5DRR0NFW2B2NBO8C693,Male,No,Yes,Yes,50,Yes,Wifi Broadband,Yes,Yes,Yes,Yes,Bank,84.44228447,4328.214608,No
MTF9YNB7X4BRUMUEHLAC,Female,No,No,No,-1,Yes,Wifi Broadband,No,No,No,No,Check,25.13443471,23.87399239,Yes
UL6YG0F74I94BMQ3AW7A,Female,No,Yes,No,53,Yes,No,No,Yes,Yes,No,Electronic,109.0132474,5892.177351,Yes
0CXQMUXPNSNCLSTTUE1M,Female,No,Yes,Yes,4,Yes,Wifi Broadband,No,Yes,No,No,Electronic,74.75630802,326.2146797,Yes
3RHAG241W40FXAYKFFX3,Female,No,Yes,Yes,72,Yes,Satellite Broadband,Yes,Yes,Yes,Yes,Card,87.30396775,6593.556275,No
7KTX7BIJH9T6058AIRS0,Female,No,No,No,28,Yes,Wifi Broadband,Yes,Yes,No,No,Check,58.73706828,1654.846311,No
N044HJ5XHX8Y4EF6CIC0,Male,No,No,Yes,44,Yes,Wifi Broadband,Yes,No,Yes,Yes,Bank,105.0480882,4823.776315,Yes
K63E72T3CD5UYC0KNFP2,Male,No,No,No,8,Yes,Wifi Broadband,Yes,No,No,No,Check,84.19550409,831.6880599,Yes
R7P44TC7JGGDN5N4RCXE,Female,No,No,No,15,Yes,No,No,No,No,No,Card,51.5904871,728.4235991,No
1QYUK5FWCMACYNTXGK6T,Male,Yes,Yes,No,49,No,Wifi Broadband,No,No,No,Yes,Bank,71.55532042,3543.898114,No
OHTFWH1ZYK19PWKEI0EX,Female,Yes,No,No,10,No,Wifi Broadband,No,No,No,No,Electronic,85.94959845,745.0784386,Yes
A2CJXF73K2MYM69J2MET,Male,No,No,No,38,Yes,Satellite Broadband,No,Yes,No,Yes,Electronic,100.2312644,3810.547911,No
NOM7Z2GZH684QQRFF9LO,Male,No,No,No,55,Yes,Satellite Broadband,Yes,No,Yes,Yes,Card,106.4662289,5760.436633,No
8UQ8E3CEUNGAC3ZJ7ONF,Female,No,Yes,Yes,34,Yes,Wifi Broadband,Yes,Yes,No,Yes,Card,104.6893166,3684.064061,No
SOO80SK63DQPKSCON72S,Male,No,No,No,10,Yes,No,No,No,Yes,No,Bank,95.13963013,826.8202914,No
OBXM4R72JRWI4XS7JPM4,Female,No,No,No,-1,Yes,Wifi Broadband,No,Yes,No,Yes,Check,50.47836307,51.11811993,Yes
CJMY95IMZE82YZCZS1XY,Female,No,No,No,51,No,Satellite Broadband,No,Yes,Yes,No,Card,40.30848079,1932.206428,No
8CBCFF54MYSOT61YRWJT,Male,No,Yes,Yes,58,Yes,Satellite Broadband,No,Yes,No,Yes,Electronic,105.2831815,6257.000417,No
7MQPU7QWOX0F4DLSQI0L,Male,No,No,Yes,16,Yes,Wifi Broadband,No,No,No,No,Check,43.67312361,682.3042215,No
MC4XPLKSYERBUMDXEKNH,Male,No,No,No,39,Yes,Satellite Broadband,No,No,No,No,Bank,19.75135218,825.9637664,No
YEAI6AUOPLAH5HPQO5IO,Male,No,No,No,65,Yes,Satellite Broadband,No,No,Yes,Yes,Electronic,103.4823524,6861.169461,No
9ETFCEUD2E154RZQWXZ0,Male,No,No,No,13,No,Satellite Broadband,No,No,No,No,Check,30.35906751,419.2849472,No
5OATJFZ9BXUAC5GHBU3N,Female,No,Yes,No,69,No,Wifi Broadband,No,No,No,No,Bank,21.27338012,1492.78334,No
WDRLKB3UM5M61OST76Y2,Male,No,Yes,Yes,10,Yes,Wifi Broadband,No,No,Yes,Yes,Electronic,101.9884454,904.6323138,No
D5WI7OZB64A71AKLF50I,Female,No,Yes,No,15,Yes,No,No,No,No,Yes,Electronic,48.17046351,668.9788214,Yes
SZUKKM4EW9HWB76BH4O1,Female,No,Yes,No,24,Yes,Wifi Broadband,No,No,No,Yes,Card,19.19317305,487.5908155,No
ICGBJCYYOY71SOTXCANC,Male,Yes,No,No,1,Yes,Wifi Broadband,Yes,Yes,No,No,Bank,66.48575594,93.4721886,Yes
18UJ06EXMIUY1FG01OTX,Female,No,Yes,Yes,71,Yes,Wifi Broadband,No,No,No,Yes,Card,24.86113353,1662.995424,No
2RBWSN2PU22LRSW2NZT9,Female,No,Yes,No,24,Yes,Satellite Broadband,No,No,Yes,No,Card,72.2649724,1643.597201,No
D42FK7ZHHUFCF4ZNJ1O5,Female,No,No,No,3,Yes,No,No,No,No,No,Card,20.99427443,66.80368264,No
F790IJ1O0FDYMCCYC414,Female,No,Yes,No,26,Yes,Wifi Broadband,Yes,Yes,Yes,No,Card,90.58623258,2311.612369,No
DTBQPG0EL72O3R5ERART,Female,Yes,No,No,-1,Yes,Wifi Broadband,No,No,No,No,Check,45.15588817,44.94603642,Yes
0NW6ZK8TTNJEI8CTOZG3,Male,No,Yes,Yes,59,Yes,Wifi Broadband,Yes,Yes,No,No,Check,34.136504,1980.600462,No
WMXABYXO769J63GABK6F,Female,No,No,No,71,Yes,Satellite Broadband,Yes,Yes,Yes,No,Electronic,109.8673675,7622.906279,No
DH8R6RIC86LB59IAN1DI,Male,No,No,No,1,Yes,Wifi Broadband,No,No,No,Yes,Bank,67.76498776,221.7508725,Yes
X7A7G9KCNOWLNETRWE9W,Female,No,No,No,60,Yes,No,Yes,Yes,Yes,No,Card,85.70443027,5175.407419,No
B3AYHWAPRPRTNNBXZZ1L,Female,No,Yes,Yes,38,Yes,Wifi Broadband,No,Yes,Yes,No,Bank,96.22962921,3616.349018,No
CIMUWFTLMIMQAH00SPE3,Male,No,No,No,19,Yes,Satellite Broadband,No,No,No,No,Card,41.44001817,895.0391052,Yes
HM2B2RRE0E3KJLLHK945,Male,No,Yes,Yes,57,Yes,No,No,No,Yes,No,Card,96.91477207,5430.595981,No
1LAQKY4S64B80ZK3KUX8,Female,No,Yes,No,69,Yes,Satellite Broadband,Yes,No,Yes,Yes,Check,68.74408958,4664.527526,No
0ZJIAPOPLBQWM3D1P0DL,Male,Yes,Yes,No,16,Yes,Satellite Broadband,No,Yes,Yes,No,Electronic,91.70260163,1539.667698,No
PSHAIMYWQU9ELWJNXSFK,Male,No,No,No,2,Yes,Wifi Broadband,Yes,No,No,No,Electronic,70.50845992,146.3718288,Yes
KKHQ9IF3N0AQTPZBAEP0,Male,No,Yes,Yes,39,Yes,Satellite Broadband,No,Yes,No,No,Electronic,85.14695165,3355.661762,No
1TWOU2MYCBOUSB9YE0ZD,Female,No,Yes,No,54,Yes,No,Yes,Yes,No,No,Electronic,94.36021602,5029.287606,Yes
4IIILSCFMKCBY7I30SJR,Female,No,No,No,15,Yes,Wifi Broadband,No,No,No,Yes,Electronic,100.7476429,1416.467283,Yes
WT55LEDL81XJKENC5N6B,Female,Yes,Yes,No,9,Yes,Satellite Broadband,No,No,No,Yes,Card,21.15666413,182.1516642,No
Z4QZ6P0362KBD570E6PJ,Male,No,No,No,1,Yes,Satellite Broadband,No,No,No,No,Electronic,70.68184148,69.05234088,Yes
JZ17BWHCROZAD2YJDDMI,Male,No,Yes,Yes,51,Yes,Satellite Broadband,No,No,No,No,Card,19.78856334,1069.357353,No
2N93MNBIJBSJ5L3J1RXO,Male,Yes,Yes,No,60,Yes,Satellite Broadband,Yes,Yes,Yes,No,Bank,116.9555462,6925.36404,No
CM6ONHSAEKJ93RCR8FSW,Male,No,Yes,Yes,8,Yes,Satellite Broadband,No,No,No,Yes,Electronic,55.21757377,447.9534744,No
89IKCZEJICR6SQFSHINO,Female,Yes,No,No,34,Yes,Satellite Broadband,Yes,Yes,No,No,Electronic,108.796541,3726.781235,No
RG9M3TBI03PSLI3EMDQE,Male,No,No,No,13,Yes,No,No,No,No,No,Bank,45.93588342,541.6070566,No
DI0DYQWDBLA534QXW4IM,Female,No,No,No,10,Yes,No,No,No,No,No,Electronic,45.56015533,523.8840035,No
1G76XJ5EKAIKGS2R1X8Y,Male,No,Yes,Yes,2,Yes,Wifi Broadband,No,No,No,No,Check,23.20940443,62.32523987,No
2KK2X8Q6EQ5T0P98SQGT,Male,No,Yes,Yes,11,No,Satellite Broadband,No,Yes,No,No,Card,59.56139511,741.3375113,No
8PI4KWM65HG2H04DPTI0,Male,No,Yes,Yes,65,Yes,Wifi Broadband,No,No,No,Yes,Card,25.37674568,1712.970022,No
KS1MGNZ1DGPHG8323Y42,Female,No,Yes,No,70,Yes,Wifi Broadband,No,Yes,No,Yes,Electronic,54.59017828,3936.475992,Yes
E153F6BQ2O4CGAZYQA42,Male,No,Yes,No,73,Yes,Wifi Broadband,Yes,Yes,Yes,No,Bank,91.17395059,6468.953313,No
2TGEOYYA2O40RTLX2R2X,Female,No,Yes,No,45,Yes,No,Yes,Yes,No,No,Electronic,98.0308009,4534.014027,Yes
630XSTDO1DCNKHXNQ7WS,Female,No,No,No,2,Yes,No,No,No,No,No,Card,99.80957318,100.7615591,Yes
Q5940BN81TIMFGFTNXX4,Female,No,No,No,5,Yes,Wifi Broadband,No,No,No,Yes,Electronic,75.69960909,301.1639883,No
PPD8DQLMH0C9TSCJ1YRI,Male,Yes,Yes,No,8,Yes,Wifi Broadband,No,No,No,Yes,Card,81.17186568,632.351725,Yes
M229KKRRMN2QBRRQ6GYM,Female,No,No,Yes,9,Yes,Satellite Broadband,No,Yes,Yes,No,Check,72.24010098,654.0037414,Yes
4A44FEODWGMH220EBEXJ,Female,No,Yes,Yes,42,Yes,Satellite Broadband,No,No,No,No,Bank,19.96203137,797.9196645,No
19FW0H3NR7KQRX4QDWWC,Female,No,Yes,Yes,46,Yes,Satellite Broadband,Yes,No,No,No,Bank,52.36593382,2334.529248,No
J51JJJ6IA3KGZDYIZG2X,Female,No,No,No,1,Yes,Satellite Broadband,No,No,No,No,Electronic,70.57886326,151.0648118,Yes
UZO21ZKLYTBB4BTRHBDK,Female,No,No,No,1,No,No,No,No,No,Yes,Check,20.9350764,19.2957799,Yes
T1PPWOAJZCINA21I64TI,Female,No,Yes,No,38,Yes,Satellite Broadband,Yes,Yes,No,Yes,Bank,105.637896,4230.648911,No
YX4WHIK8OQ0243X87QSH,Female,No,Yes,Yes,68,Yes,Wifi Broadband,Yes,No,Yes,Yes,Bank,81.02651697,5542.855418,No
25LNKD0Q6ZND45R8PRY7,Female,No,No,No,26,No,Wifi Broadband,No,No,No,Yes,Check,48.74148083,1292.927516,No
G7T7QA7THHMO87QDUC3A,Male,No,No,No,8,Yes,Wifi Broadband,No,No,Yes,Yes,Card,93.73394567,865.5801753,No
4YTORLJPRMZPANJLNK4X,Male,No,Yes,Yes,50,Yes,Satellite Broadband,No,No,No,Yes,Card,20.29443419,1012.835176,No
8L4NCT49Y775NMIEJC20,Female,No,No,No,2,Yes,No,No,Yes,No,No,Electronic,73.09148298,281.2881986,Yes
QB0YT4IPIAFKXIJB7SJG,Female,No,Yes,No,54,Yes,Satellite Broadband,Yes,No,Yes,No,Check,57.66443105,3112.463509,No
PSLUHMCGYGHU9ZPK2MB2,Male,Yes,Yes,No,51,Yes,Wifi Broadband,No,Yes,Yes,Yes,Electronic,92.95991492,4870.876348,No
4ELAC8LCTNPZAQ6JM82C,Male,No,No,No,35,Yes,No,Yes,Yes,Yes,Yes,Bank,83.90565025,3001.956728,No
RUFS7H5JRX6IYKQ9EXPX,Male,No,No,No,45,Yes,No,No,Yes,Yes,No,Card,34.08258771,1536.38589,No
94NONDPKD3PLPXUXNEO0,Female,No,Yes,Yes,16,Yes,No,No,Yes,Yes,Yes,Bank,76.60230806,1155.915101,No
P4OAMFLQY56XZJ2I84RD,Female,No,Yes,Yes,60,Yes,No,No,Yes,No,No,Electronic,100.1769356,6282.751609,Yes
WSM1P51307KTU599TTO6,Male,No,Yes,Yes,44,Yes,Wifi Broadband,No,Yes,No,No,Card,78.64037955,3599.418434,No
9OP7WREW28R2ZOS7KP64,Male,No,Yes,Yes,22,Yes,Wifi Broadband,No,No,No,No,Bank,72.68264792,1565.317153,Yes
YY9RT7SY2XHGHHIQN1Q7,Male,No,No,No,25,Yes,Wifi Broadband,Yes,No,Yes,No,Bank,74.60652676,1908.238003,No
RSSGU5WFC9DJ8KGOL5SE,Male,No,Yes,No,62,Yes,Wifi Broadband,Yes,No,No,Yes,Check,72.6868337,4765.932927,No
XH00D0H70MTPIRLHGACP,Male,Yes,Yes,No,25,Yes,No,Yes,No,Yes,Yes,Bank,105.1431224,2866.914235,Yes
ZOFPT114QF5D993N8OHA,Female,No,Yes,Yes,67,Yes,Satellite Broadband,Yes,Yes,Yes,No,Electronic,74.19959991,5012.526104,No
EI03B5FLXT2HKR6R2NYT,Female,No,No,No,26,Yes,Satellite Broadband,No,No,No,No,Card,17.03026567,532.9991118,No
ZGQWPR1QBYG2LL50ZZ1P,Male,No,Yes,Yes,46,Yes,Satellite Broadband,No,Yes,Yes,No,Bank,90.9300599,4237.824944,No
WN5ZXIRL7LY904G8XWFZ,Female,No,No,No,1,Yes,Wifi Broadband,No,No,No,Yes,Check,20.13593047,19.7586711,No
EKFXQQC00TB6O9NFZLXA,Male,No,No,No,23,No,No,No,No,No,Yes,Electronic,96.96316785,2323.751109,No
79GDQ0XXL14XLK32BTI6,Female,No,Yes,No,62,Yes,Wifi Broadband,No,No,Yes,No,Bank,102.2863331,6384.192544,No
51908TE2U16K2TX0S8R3,Female,No,Yes,No,16,Yes,Wifi Broadband,No,Yes,No,No,Electronic,100.7268704,1504.341999,Yes
5F7TPXF6NZL7WG5H3R17,Male,No,Yes,Yes,18,Yes,Satellite Broadband,No,No,Yes,Yes,Electronic,85.26412405,1603.214678,No
OM5F7GO8AFJ3T8RE30BH,Female,No,No,No,36,Yes,Satellite Broadband,No,No,No,No,Electronic,86.53879701,3028.215406,Yes
AIG0BXILGXK5SY5JO233,Female,No,Yes,Yes,21,Yes,Wifi Broadband,No,No,No,Yes,Check,24.17143744,626.0898857,No
LZ3MYZ8HKSHPRMBQC1H8,Male,No,No,No,8,Yes,Satellite Broadband,No,Yes,No,Yes,Card,87.7996483,633.7211742,Yes
BNZ14M8B3BPA4R33HRDU,Female,Yes,No,No,1,Yes,No,No,Yes,No,Yes,Electronic,87.73262606,89.39934637,Yes
A5URGS7B6711GC6S91U7,Female,Yes,No,No,2,Yes,No,No,No,No,No,Electronic,88.05247862,88.69225786,Yes
2OA1IXQN4RZIF2AMT0T9,Female,No,Yes,No,72,Yes,Satellite Broadband,Yes,No,Yes,No,Card,110.2328167,7852.455982,No
1OUP898IPI8NFRPTQI4Q,Male,Yes,Yes,No,61,Yes,Wifi Broadband,No,Yes,Yes,Yes,Check,96.66816011,6066.407021,No
ISO46D56KGJMZ32XTX5Q,Male,No,No,No,56,Yes,Satellite Broadband,No,No,Yes,No,Check,54.18668184,3134.738423,No
6KRSCGPNGIIWMYTKTM4F,Male,No,No,No,0,Yes,Satellite Broadband,No,No,No,No,Check,45.76061184,45.50198909,No
IWSOCCPUOE8P1SE9A8TF,Female,Yes,Yes,No,22,Yes,Wifi Broadband,No,Yes,Yes,No,Check,35.02276763,828.3343164,No
8AD6OEQUXW50DQU1NCH0,Male,Yes,No,No,36,Yes,Satellite Broadband,No,Yes,No,Yes,Electronic,101.2138008,3495.397135,Yes
M4I0CZFFL0QIUXMKOREZ,Male,No,Yes,No,47,Yes,No,No,Yes,No,No,Electronic,64.81180239,3094.529762,No
YZBPUS862CJL58BP8U4J,Male,No,Yes,No,42,No,Satellite Broadband,No,No,No,No,Electronic,79.9574072,3399.709517,No
DLXWKKMENKEH53EZEIPU,Female,No,No,No,31,Yes,Satellite Broadband,No,No,No,Yes,Electronic,93.51491732,2979.239008,No
AFD5NU7X7OZQ0U1IBBDZ,Female,No,Yes,No,63,No,No,Yes,Yes,No,No,Card,72.90737238,4282.312756,No
1ZKXRNWM03ZADE1Q2ER1,Male,No,Yes,No,61,Yes,Wifi Broadband,Yes,Yes,Yes,No,Electronic,105.6313046,6614.692711,No
CYAQU6GQL8CXFCW9CARM,Male,No,No,No,32,Yes,Wifi Broadband,No,No,No,No,Electronic,82.84951187,2758.66483,Yes
PW01FB7PGYOYEIO7EDSK,Male,No,No,No,2,Yes,Wifi Broadband,Yes,No,No,No,Check,87.2357794,245.3891976,No
KP5TL2THZ0T5KA6B0KXT,Male,Yes,No,No,2,Yes,No,No,No,No,Yes,Electronic,42.92036677,85.29122185,No
P1IP5W6YX2Q0NCCD6PNQ,Female,No,Yes,Yes,34,Yes,Satellite Broadband,No,No,No,No,Card,18.53475884,679.3028236,No
FUWFDYAUTN5RZPIOPFOR,Female,No,Yes,Yes,22,Yes,No,No,No,No,Yes,Bank,19.67214728,452.141183,No
7XD3EC4YFOJPF6BIBSQB,Female,No,No,Yes,29,Yes,Satellite Broadband,No,No,No,No,Card,85.39847022,2696.986063,Yes
